   0.0 TEL | Telepresence 0.105 launched at Fri May  1 15:50:41 2020
   7.8 TEL | [34] Launching SSH port forward (socks and proxy poll): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45605 telepresence@127.0.0.1 -L127.0.0.1:41361:127.0.0.1:9050 -R9055:127.0.0.1:38023
   7.8  30 | Handling connection for 45605
   7.8 TEL | END SPAN connect.py:37(connect)    0.5s
   7.8 TEL | BEGIN SPAN remote_env.py:29(get_remote_env)
   7.8 TEL | [35] Capturing: kubectl --context kubernetes-admin@kubernetes --namespace default exec xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg --container execution-venue -- python3 podinfo.py
   7.8  30 | Handling connection for 45605
   8.1 TEL | [35] captured in 0.29 secs.
   8.1 TEL | END SPAN remote_env.py:29(get_remote_env)    0.3s
   8.1 TEL | BEGIN SPAN mount.py:30(mount_remote_volumes)
   8.1 TEL | [36] Running: sshfs -p 45605 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null telepresence@127.0.0.1:/ /tmp/tel-p2vhz3c7/fs
   8.1  30 | Handling connection for 45605
   8.3 TEL | [36] ran in 0.19 secs.
   8.3 TEL | END SPAN mount.py:30(mount_remote_volumes)    0.2s
   8.3 TEL | BEGIN SPAN vpn.py:280(connect_sshuttle)
   8.3 TEL | BEGIN SPAN vpn.py:77(get_proxy_cidrs)
   8.3 TEL | END SPAN vpn.py:77(get_proxy_cidrs)    0.0s
   8.3 TEL | [37] Launching sshuttle: sshuttle-telepresence -v --dns --method nat -e 'ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null' -r telepresence@127.0.0.1:45605 --to-ns 127.0.0.1:9053 10.96.0.0/12 10.244.0.0/24 10.244.2.0/24 10.244.1.0/24
   8.3 TEL | BEGIN SPAN vpn.py:303(connect_sshuttle,sshuttle-wait)
   8.3 TEL | Wait for vpn-tcp connection: hellotelepresence-0
   8.3 TEL | [38] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0")'
   8.4 TEL | [38] exit 1 in 0.12 secs.
   8.4 TEL | [39] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0.a.sanity.check.telepresence.io")'
   8.6 TEL | [39] exit 1 in 0.12 secs.
   8.7 TEL | Wait for vpn-tcp connection: hellotelepresence-1
   8.7 TEL | [40] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1")'
   8.8 TEL | [40] exit 1 in 0.12 secs.
   8.8 TEL | [41] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1.a.sanity.check.telepresence.io")'
   8.8  37 | Starting sshuttle proxy.
   9.7  37 | firewall manager: Starting firewall with Python version 3.7.5
   9.7  37 | firewall manager: ready method name nat.
   9.8  37 | IPv6 enabled: False
   9.8  37 | UDP enabled: False
   9.8  37 | DNS enabled: True
   9.8  37 | TCP redirector listening on ('127.0.0.1', 12300).
   9.8  37 | DNS listening on ('127.0.0.1', 12300).
   9.8  37 | Starting client with Python version 3.7.5
   9.8  37 | c : connecting to server...
   9.8  30 | Handling connection for 45605
   9.8 TEL | [41] timed out after 1.00 secs.
   9.8  37 | Warning: Permanently added '[127.0.0.1]:45605' (ECDSA) to the list of known hosts.
   9.9 TEL | Wait for vpn-tcp connection: hellotelepresence-2
   9.9 TEL | [42] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2")'
  10.0 TEL | [42] exit 1 in 0.12 secs.
  10.0 TEL | [43] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2.a.sanity.check.telepresence.io")'
  10.0  37 | Starting server with Python version 3.6.8
  10.0  37 |  s: latency control setting = True
  10.0  37 |  s: available routes:
  10.0  37 |  s:   2/10.244.0.0/16
  10.0  37 |  s:   2/10.244.1.0/24
  10.0  37 | c : Connected.
  10.0  37 | firewall manager: setting up.
  10.0  37 | >> iptables -t nat -N sshuttle-12300
  10.0  37 | >> iptables -t nat -F sshuttle-12300
  10.0  37 | >> iptables -t nat -I OUTPUT 1 -j sshuttle-12300
  10.0  37 | >> iptables -t nat -I PREROUTING 1 -j sshuttle-12300
  10.0  37 | >> iptables -t nat -A sshuttle-12300 -j RETURN --dest 127.0.0.1/32 -p tcp
  10.0  37 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 10.244.0.0/24 -p tcp --to-ports 12300 -m ttl ! --ttl 42
  10.0  37 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 10.244.2.0/24 -p tcp --to-ports 12300 -m ttl ! --ttl 42
  10.0  37 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 10.244.1.0/24 -p tcp --to-ports 12300 -m ttl ! --ttl 42
  10.0  37 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 10.96.0.0/12 -p tcp --to-ports 12300 -m ttl ! --ttl 42
  10.0  37 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 127.0.0.53/32 -p udp --dport 53 --to-ports 12300 -m ttl ! --ttl 42
  10.1  37 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 224.0.0.252/32 -p udp --dport 5355 --to-ports 12300 -m ttl ! --ttl 42
  10.1  37 | conntrack v1.4.5 (conntrack-tools): 0 flow entries have been deleted.
  11.0 TEL | [43] timed out after 1.00 secs.
  11.1 TEL | Wait for vpn-tcp connection: hellotelepresence-3
  11.1 TEL | [44] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3")'
  11.1  37 | c : DNS request from ('127.0.0.1', 39923) to None: 48 bytes
  11.1  29 | 2020-05-01T14:50:52+0000 [stdout#info] Set DNS suffix we filter out to: [()]
  11.1  29 | 2020-05-01T14:50:52+0000 [stdout#info] Result for b'hellotelepresence-3' is ['127.0.0.1']
  11.2 TEL | [44] captured in 0.07 secs.
  11.2 TEL | Resolved hellotelepresence-3. 2 more...
  11.2 TEL | [45] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3.a.sanity.check.telepresence.io")'
  11.2  37 | c : DNS request from ('127.0.0.1', 57742) to None: 79 bytes
  11.2  29 | 2020-05-01T14:50:52+0000 [stdout#info] Sanity check: b'hellotelepresence-3.a.sanity.check.telepresence.io'
  11.3 TEL | [45] exit 1 in 0.12 secs.
  11.4 TEL | Wait for vpn-tcp connection: hellotelepresence-4
  11.4 TEL | [46] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4")'
  11.4  37 | c : DNS request from ('127.0.0.1', 46192) to None: 48 bytes
  11.4  29 | 2020-05-01T14:50:53+0000 [stdout#info] Result for b'hellotelepresence-4' is ['127.0.0.1']
  11.5 TEL | [46] captured in 0.07 secs.
  11.5 TEL | Resolved hellotelepresence-4. 1 more...
  11.5 TEL | [47] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4.a.sanity.check.telepresence.io")'
  11.5  37 | c : DNS request from ('127.0.0.1', 34459) to None: 79 bytes
  11.5  29 | 2020-05-01T14:50:53+0000 [stdout#info] Sanity check: b'hellotelepresence-4.a.sanity.check.telepresence.io'
  11.6 TEL | [47] exit 1 in 0.12 secs.
  11.7 TEL | Wait for vpn-tcp connection: hellotelepresence-5
  11.7 TEL | [48] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-5")'
  11.7  37 | c : DNS request from ('127.0.0.1', 41627) to None: 48 bytes
  11.7  29 | 2020-05-01T14:50:53+0000 [stdout#info] Result for b'hellotelepresence-5' is ['127.0.0.1']
  11.7 TEL | [48] captured in 0.07 secs.
  11.7 TEL | Resolved hellotelepresence-5. 0 more...
  11.7 TEL | END SPAN vpn.py:303(connect_sshuttle,sshuttle-wait)    3.4s
  11.7 TEL | END SPAN vpn.py:280(connect_sshuttle)    3.4s
  11.7 >>> | Setup complete. Launching your command.
  11.7 TEL | Everything launched. Waiting to exit...
  11.7 TEL | BEGIN SPAN runner.py:726(wait_for_exit)
  11.8  37 | c : DNS request from ('127.0.0.1', 49383) to None: 47 bytes
  11.8  37 | c : DNS request from ('127.0.0.1', 49383) to None: 47 bytes
  11.8  29 | 2020-05-01T14:50:53+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  11.8  29 | 2020-05-01T14:50:53+0000 [stdout#info] AAAA query, sending back A instead: b'kafka-opentp.kafka'
  11.8  29 | 2020-05-01T14:50:53+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  11.8  37 | c : Accept TCP: 192.168.1.150:48748 -> 10.102.135.241:9092.
  11.8  37 | c : Accept TCP: 192.168.1.150:48750 -> 10.102.135.241:9092.
  11.8  37 | c : Accept TCP: 192.168.1.150:48752 -> 10.102.135.241:9092.
  11.8  29 | 2020-05-01T14:50:53+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  11.8  29 | 2020-05-01T14:50:53+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  11.8  37 | c : Accept TCP: 192.168.1.150:35010 -> 10.244.2.55:9092.
  11.8  37 | c : Accept TCP: 192.168.1.150:35012 -> 10.244.2.55:9092.
  11.8  37 |  s: SW#-1:10.102.135.241:9092: deleting (7 remain)
  11.8  37 |  s: SW'unknown':Mux#8: deleting (6 remain)
  11.8  37 | c : SW#8:192.168.1.150:48748: deleting (9 remain)
  11.8  37 | c : SW'unknown':Mux#8: deleting (8 remain)
  11.8  37 | c : SW#10:192.168.1.150:48750: deleting (7 remain)
  11.8  37 | c : SW'unknown':Mux#9: deleting (6 remain)
  12.1  37 | c : DNS request from ('127.0.0.1', 32833) to None: 47 bytes
  12.1  37 | c : DNS request from ('127.0.0.1', 32833) to None: 47 bytes
  12.1  29 | 2020-05-01T14:50:53+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  12.1  29 | 2020-05-01T14:50:53+0000 [stdout#info] AAAA query, sending back A instead: b'kafka-opentp.kafka'
  12.1  29 | 2020-05-01T14:50:53+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  12.1  29 | 2020-05-01T14:50:53+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  12.1  37 | c : Accept TCP: 192.168.1.150:48758 -> 10.102.135.241:9092.
  12.1  37 | c : SW#12:192.168.1.150:35010: deleting (7 remain)
  12.1  37 | c : SW'unknown':Mux#11: deleting (6 remain)
  12.1  29 | 2020-05-01T14:50:53+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  12.2  37 | c : Accept TCP: 192.168.1.150:35016 -> 10.244.2.55:9092.
  12.2  37 |  s: SW#-1:10.102.135.241:9092: deleting (11 remain)
  12.2  37 |  s: SW'unknown':Mux#15: deleting (10 remain)
  12.2  37 |  s: SW'unknown':Mux#9: deleting (9 remain)
  12.2  37 |  s: SW#7:10.102.135.241:9092: deleting (8 remain)
  12.2  37 |  s: SW'unknown':Mux#10: deleting (7 remain)
  12.2  37 |  s: SW#9:10.102.135.241:9092: deleting (6 remain)
  12.2  37 |  s: SW'unknown':Mux#11: deleting (5 remain)
  12.2  37 |  s: SW#10:10.244.2.55:9092: deleting (4 remain)
  13.3  37 | c : DNS request from ('127.0.0.1', 57801) to None: 47 bytes
  13.3  37 | c : DNS request from ('127.0.0.1', 57801) to None: 47 bytes
  13.3  29 | 2020-05-01T14:50:54+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  13.3  29 | 2020-05-01T14:50:54+0000 [stdout#info] AAAA query, sending back A instead: b'kafka-opentp.kafka'
  13.3  29 | 2020-05-01T14:50:54+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  13.3  29 | 2020-05-01T14:50:54+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  13.3  37 | c : Accept TCP: 192.168.1.150:48762 -> 10.102.135.241:9092.
  13.3  29 | 2020-05-01T14:50:54+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  13.3  37 | c : Accept TCP: 192.168.1.150:35020 -> 10.244.2.55:9092.
  13.3  37 |  s: SW#-1:10.102.135.241:9092: deleting (7 remain)
  13.3  37 |  s: SW'unknown':Mux#19: deleting (6 remain)
  13.4  37 | c : SW'unknown':Mux#10: deleting (11 remain)
  13.4  37 | c : SW#11:192.168.1.150:48752: deleting (10 remain)
  13.4  37 | c : SW#-1:192.168.1.150:48758: deleting (9 remain)
  13.4  37 | c : SW'unknown':Mux#15: deleting (8 remain)
  13.4  37 | c : SW'unknown':Mux#16: deleting (7 remain)
  13.4  37 | c : SW#-1:192.168.1.150:35016: deleting (6 remain)
  13.4  37 | c : SW#-1:192.168.1.150:35016: error was: nowrite: [Errno 107] Transport endpoint is not connected
  13.4  37 | c : SW'unknown':Mux#19: deleting (5 remain)
  13.4  37 | c : SW#-1:192.168.1.150:48762: deleting (4 remain)
  13.7  37 | c : DNS request from ('127.0.0.1', 43458) to None: 47 bytes
  13.7  37 | c : DNS request from ('127.0.0.1', 43458) to None: 47 bytes
  13.7  29 | 2020-05-01T14:50:55+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  13.7  29 | 2020-05-01T14:50:55+0000 [stdout#info] AAAA query, sending back A instead: b'kafka-opentp.kafka'
  13.7  29 | 2020-05-01T14:50:55+0000 [stdout#info] A query: b'kafka-opentp.kafka'
  13.7  29 | 2020-05-01T14:50:55+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  13.7  29 | 2020-05-01T14:50:55+0000 [stdout#info] Result for b'kafka-opentp.kafka' is ['10.102.135.241']
  13.7  37 | c : Accept TCP: 192.168.1.150:48766 -> 10.102.135.241:9092.
  13.7  37 | c : Accept TCP: 192.168.1.150:35024 -> 10.244.2.55:9092.
  14.0  37 | c : SW'unknown':Mux#23: deleting (7 remain)
  14.0  37 | c : SW#-1:192.168.1.150:48766: deleting (6 remain)
  14.0  37 | c : SW#14:192.168.1.150:35020: deleting (5 remain)
  14.0  37 | c : SW#14:192.168.1.150:35020: error was: nowrite: [Errno 107] Transport endpoint is not connected
  14.0  37 | c : SW'unknown':Mux#20: deleting (4 remain)
  14.1  37 |  s: SW#-1:10.102.135.241:9092: deleting (9 remain)
  14.1  37 |  s: SW'unknown':Mux#23: deleting (8 remain)
  14.1  37 |  s: SW'unknown':Mux#20: deleting (7 remain)
  14.1  37 |  s: SW#10:10.244.2.55:9092: deleting (6 remain)
  17.0 TEL | Main process (./fix-sim-execution-venue)
  17.0 TEL |  exited with code 2.
  17.1 TEL | END SPAN runner.py:726(wait_for_exit)    5.3s
  17.1 >>> | Your process exited with return code 2.
  17.1 TEL | EXITING successful session.
  17.1 >>> | Exit cleanup in progress
  17.1 TEL | (Cleanup) Terminate local process
  17.1 TEL | Local process is already dead (ret=2)
  17.1 TEL | (Cleanup) Kill BG process [37] sshuttle
  17.1 TEL | (Cleanup) Unmount remote filesystem
  17.1 TEL | [49] Running: fusermount -z -u /tmp/tel-p2vhz3c7/fs
  17.1  37 | >> iptables -t nat -D OUTPUT -j sshuttle-12300
  17.1  37 |  s: SW#13:10.244.2.55:9092: deleting (5 remain)
  17.1  37 |  s: SW'unknown':Mux#12: deleting (4 remain)
  17.1  37 |  s: SW#6:10.244.2.55:9092: deleting (3 remain)
  17.1  37 |  s: SW'unknown':Mux#16: deleting (2 remain)
  17.1  37 |  s: SW'unknown':Mux#24: deleting (1 remain)
  17.1  37 |  s: SW#11:10.244.2.55:9092: deleting (0 remain)
  17.1  37 | >> iptables -t nat -D PREROUTING -j sshuttle-12300
  17.1 TEL | [49] ran in 0.02 secs.
  17.1 TEL | (Cleanup) Kill BG process [34] SSH port forward (socks and proxy poll)
  17.1 TEL | [34] SSH port forward (socks and proxy poll): exit 0
  17.1 TEL | (Cleanup) Kill Web server for proxy poll
  17.1  37 | >> iptables -t nat -F sshuttle-12300
  17.1  37 | >> iptables -t nat -X sshuttle-12300
  17.1 TEL | [37] sshuttle: exit -15
  17.3 TEL | (Cleanup) Kill BG process [33] SSH port forward (exposed ports)
  17.3 TEL | (Cleanup) Kill BG process [30] kubectl port-forward
  17.3 TEL | [33] SSH port forward (exposed ports): exit 0
  17.3 TEL | [30] kubectl port-forward: exit -15
  17.3 TEL | (Cleanup) Kill BG process [29] kubectl logs
  17.3 TEL | [29] kubectl logs: exit -15
  17.3 TEL | Background process (kubectl logs) exited with return code -15. Command was:
  17.3 TEL |   kubectl --context kubernetes-admin@kubernetes --namespace default logs -f xnas-order-gatewa-8b672831e5e04e08949dbadd9755009a-57dfd4b9fgfg --container execution-venue --tail=10
  17.3 TEL | 
  17.3 TEL | Recent output was:
